,Province/State,Country/Region,Lat,Long,Date,Confirmed,Recovered,Deaths,check
9144,Hubei,China,30.9756,112.2707,2020-03-20,67800,58382,3133,China#2020-03-20 00:00:00
9380,Guangdong,China,23.3417,113.4244,2020-03-20,1395,1323,8,China#2020-03-20 00:00:00
9439,Henan,China,33.882,113.61399999999999,2020-03-20,1273,1250,22,China#2020-03-20 00:00:00
9498,Zhejiang,China,29.1832,120.0934,2020-03-20,1234,1219,1,China#2020-03-20 00:00:00
9557,Hunan,China,27.6104,111.7088,2020-03-20,1018,1014,4,China#2020-03-20 00:00:00
9616,Anhui,China,31.8257,117.2264,2020-03-20,990,984,6,China#2020-03-20 00:00:00
9675,Jiangxi,China,27.614,115.7221,2020-03-20,935,934,1,China#2020-03-20 00:00:00
9734,Shandong,China,36.3427,118.1498,2020-03-20,762,748,7,China#2020-03-20 00:00:00
9852,Jiangsu,China,32.9711,119.455,2020-03-20,631,631,0,China#2020-03-20 00:00:00
9911,Chongqing,China,30.0572,107.874,2020-03-20,576,570,6,China#2020-03-20 00:00:00
9970,Sichuan,China,30.6171,102.7103,2020-03-20,541,536,3,China#2020-03-20 00:00:00
10029,Heilongjiang,China,47.861999999999995,127.7615,2020-03-20,484,463,13,China#2020-03-20 00:00:00
10147,Beijing,China,40.1824,116.4142,2020-03-20,491,390,8,China#2020-03-20 00:00:00
10206,Shanghai,China,31.201999999999998,121.4491,2020-03-20,371,326,3,China#2020-03-20 00:00:00
10265,Hebei,China,39.549,116.1306,2020-03-20,318,310,6,China#2020-03-20 00:00:00
10324,Fujian,China,26.0789,117.9874,2020-03-20,299,295,1,China#2020-03-20 00:00:00
10383,Guangxi,China,23.8298,108.7881,2020-03-20,254,250,2,China#2020-03-20 00:00:00
10442,Shaanxi,China,35.1917,108.8701,2020-03-20,247,237,3,China#2020-03-20 00:00:00
10501,Yunnan,China,24.974,101.48700000000001,2020-03-20,176,172,2,China#2020-03-20 00:00:00
10560,Hainan,China,19.1959,109.7453,2020-03-20,168,161,6,China#2020-03-20 00:00:00
10619,Guizhou,China,26.8154,106.8748,2020-03-20,146,144,2,China#2020-03-20 00:00:00
10678,Tianjin,China,39.3054,117.323,2020-03-20,137,133,3,China#2020-03-20 00:00:00
10737,Shanxi,China,37.5777,112.2922,2020-03-20,133,133,0,China#2020-03-20 00:00:00
10796,Gansu,China,37.8099,101.0583,2020-03-20,134,98,2,China#2020-03-20 00:00:00
10855,Hong Kong,China,22.3,114.2,2020-03-20,256,98,4,China#2020-03-20 00:00:00
10914,Liaoning,China,41.2956,122.6085,2020-03-20,126,122,2,China#2020-03-20 00:00:00
10973,Jilin,China,43.6661,126.1923,2020-03-20,93,92,1,China#2020-03-20 00:00:00
11091,Xinjiang,China,41.1129,85.2401,2020-03-20,76,73,3,China#2020-03-20 00:00:00
11150,Inner Mongolia,China,44.0935,113.9448,2020-03-20,75,74,1,China#2020-03-20 00:00:00
11209,Ningxia,China,37.2692,106.1655,2020-03-20,75,75,0,China#2020-03-20 00:00:00
11445,Qinghai,China,35.7452,95.9956,2020-03-20,18,18,0,China#2020-03-20 00:00:00
11504,Macau,China,22.1667,113.55,2020-03-20,17,10,0,China#2020-03-20 00:00:00
11976,Tibet,China,31.6927,88.0924,2020-03-20,1,1,0,China#2020-03-20 00:00:00
